1,1,0.93251,1,1,1,1
0.9972,0.8789,0.77865,0.84633,0.80551,0.92288,0.84026
0.9362,0.75356,0.71909,0.73321,0.50407,0.74236,0.64363
0.86328,0.6321,0.67183,0.63071,0.23934,0.53897,0.46253
0.70853,0.41227,0.58154,0.4489,0.048801,0.26165,0.27755
0.63027,0.31779,0.54062,0.37375,0.087773,0.21054,0.26303
0.55381,0.23558,0.50372,0.30963,0.1499,0.19746,0.26748
0.48086,0.16642,0.47044,0.25512,0.19423,0.19869,0.2699
0.34953,0.067157,0.41198,0.16771,0.17833,0.17962,0.23598
0.29196,0.035675,0.38616,0.13242,0.13629,0.15065,0.20335
0.23987,0.014845,0.36269,0.1023,0.09362,0.11496,0.16852
0.1847,0.004553,0.34695,0.076218,0.047648,0.080106,0.131
0.11679,0.0039169,0.30927,0.046054,0.050414,0.037562,0.097497
0.087385,0.013534,0.29782,0.039173,0.051835,0.031472,0.085223
0.064144,0.027964,0.28967,0.037698,0.055777,0.033742,0.078036
0.047164,0.046215,0.28485,0.041002,0.060131,0.041531,0.075059
0.031821,0.090623,0.28511,0.058991,0.068112,0.064741,0.07914
0.033062,0.11522,0.29011,0.072248,0.072682,0.078093,0.085624
0.039799,0.14053,0.29827,0.087527,0.078446,0.092527,0.094954
0.05159,0.16603,0.30944,0.10432,0.085614,0.10835,0.107
0.088285,0.21596,0.34003,0.14072,0.10322,0.14459,0.13801
0.11205,0.2398,0.35888,0.15956,0.11276,0.16443,0.15606
0.13861,0.26261,0.37964,0.17834,0.12224,0.18467,0.17513
0.16732,0.28424,0.40188,0.19678,0.13141,0.20463,0.19474
0.22861,0.32356,0.44907,0.23153,0.14852,0.24164,0.23405
0.2599,0.34111,0.4731,0.24747,0.15648,0.25798,0.25309
0.29081,0.35718,0.49682,0.26226,0.16409,0.27262,0.27133
0.32076,0.37174,0.51978,0.27581,0.17136,0.28549,0.28848
0.3758,0.39617,0.56177,0.29902,0.18475,0.30564,0.31841
0.40004,0.406,0.58006,0.30862,0.19081,0.31283,0.33066
0.42165,0.41421,0.59611,0.31686,0.19642,0.31805,0.34079
0.44036,0.42078,0.60967,0.32375,0.20152,0.32129,0.34864
0.46849,0.429,0.62853,0.33349,0.21009,0.32198,0.35699
0.47776,0.43067,0.6336,0.33634,0.21346,0.31957,0.35736
0.48384,0.43073,0.6357,0.33787,0.21613,0.31549,0.35521
0.48682,0.42923,0.63486,0.33809,0.21806,0.30988,0.35057
0.48407,0.42177,0.6247,0.3347,0.21921,0.29496,0.33423
0.47875,0.41598,0.61566,0.33114,0.21855,0.28554,0.32284
0.47109,0.40896,0.60423,0.32638,0.21693,0.27521,0.30952
0.46137,0.40083,0.59062,0.32049,0.21428,0.2642,0.29449
0.43681,0.38183,0.55789,0.30561,0.20593,0.24089,0.26033
0.42253,0.37127,0.53929,0.29681,0.20033,0.22889,0.24179
0.40726,0.36025,0.51954,0.28726,0.19388,0.21685,0.22268
0.39127,0.34895,0.4989,0.27708,0.1867,0.20493,0.20334
0.35812,0.32623,0.45602,0.25539,0.17054,0.18199,0.1652
0.34145,0.31516,0.43425,0.24418,0.16182,0.17128,0.14704
0.325,0.30453,0.41258,0.23294,0.15285,0.16124,0.12984
0.30901,0.29447,0.39122,0.22181,0.14377,0.152,0.11387
0.27921,0.27664,0.35029,0.20048,0.12589,0.13628,0.086359
0.2658,0.26909,0.33111,0.19053,0.11735,0.12995,0.07509
0.25364,0.26257,0.31304,0.18121,0.10925,0.1247,0.065585
0.24291,0.25713,0.29626,0.1726,0.10167,0.12057,0.057873
0.22634,0.24965,0.26723,0.15777,0.088419,0.1157,0.047784
0.22078,0.24764,0.25531,0.15164,0.082842,0.11494,0.045331
0.21718,0.24676,0.24531,0.14638,0.078,0.11524,0.044533
0.21564,0.24699,0.23736,0.142,0.073896,0.11656,0.045329
0.21894,0.2506,0.22802,0.13576,0.067821,0.12189,0.05143
0.22383,0.25387,0.22678,0.13382,0.065771,0.12572,0.056585
0.23086,0.25804,0.2279,0.1326,0.064307,0.13015,0.063026
0.24,0.26302,0.23139,0.13204,0.063362,0.13507,0.070641
0.26427,0.27517,0.24537,0.13259,0.062739,0.14574,0.088832
0.2792,0.28217,0.25573,0.13356,0.062916,0.15119,0.099054
